Date,Clicks,Impressions,CTR,Position
2026-03-14,4,164,2.44%,39.7
2026-03-15,0,110,0%,38.5
2026-03-16,0,151,0%,32
2026-03-17,1,188,0.53%,33
2026-03-18,0,402,0%,29.3
2026-03-19,1,222,0.45%,32.3
2026-03-20,0,124,0%,34.8
2026-03-21,0,162,0%,32.8
2026-03-22,0,132,0%,31.3
2026-03-23,0,120,0%,33.6
2026-03-24,1,95,1.05%,34.6
2026-03-25,0,175,0%,47.2
2026-03-26,0,179,0%,29.3
2026-03-27,2,346,0.58%,23
2026-03-28,0,520,0%,27.2
2026-03-29,1,287,0.35%,23.8
2026-03-30,1,351,0.28%,24.7
2026-03-31,0,408,0%,23
2026-04-01,2,315,0.63%,28.9
2026-04-02,1,263,0.38%,30.2
2026-04-03,0,271,0%,21.9
2026-04-04,0,197,0%,18.8
2026-04-05,0,255,0%,24.7
2026-04-06,0,239,0%,22.8
2026-04-07,0,240,0%,25.8
2026-04-08,1,305,0.33%,20.5
2026-04-09,0,330,0%,26.3
2026-04-10,2,277,0.72%,24.7
