Country,Clicks,Impressions,CTR,Position
United States,15,4924,0.3%,28.59
Canada,1,164,0.61%,27.02
Australia,1,31,3.23%,19
United Kingdom,0,435,0%,46.77
Brazil,0,248,0%,19.17
Mexico,0,69,0%,18.38
Vietnam,0,63,0%,25.92
Germany,0,61,0%,18.97
India,0,57,0%,23.96
France,0,46,0%,11.02
Spain,0,45,0%,16.71
Italy,0,42,0%,27.71
Colombia,0,26,0%,10.04
Netherlands,0,25,0%,11.76
China,0,22,0%,7.64
Philippines,0,21,0%,23.71
Japan,0,20,0%,16.25
Russia,0,19,0%,8.89
Ukraine,0,19,0%,11.89
Argentina,0,19,0%,15.79
Chile,0,17,0%,10.18
Hong Kong,0,15,0%,8.87
Indonesia,0,14,0%,18.14
Iran,0,13,0%,9.92
South Korea,0,13,0%,18.15
Peru,0,13,0%,21
Turkey,0,13,0%,24.62
Belgium,0,12,0%,14
Saudi Arabia,0,12,0%,14.33
Poland,0,12,0%,18.5
Taiwan,0,11,0%,10.45
Israel,0,11,0%,15.64
Ecuador,0,10,0%,14
Sweden,0,10,0%,15
United Arab Emirates,0,10,0%,20.6
Thailand,0,9,0%,17
Portugal,0,9,0%,24.22
Egypt,0,9,0%,26.33
Romania,0,8,0%,6
Singapore,0,8,0%,7.62
Uruguay,0,8,0%,10.38
Bangladesh,0,8,0%,18.62
Switzerland,0,8,0%,21
Denmark,0,8,0%,23.38
Algeria,0,8,0%,23.62
South Africa,0,8,0%,28.25
Nigeria,0,7,0%,5.71
Malaysia,0,7,0%,7.29
Belarus,0,7,0%,8.14
Puerto Rico,0,7,0%,9.14
Morocco,0,7,0%,21.86
Pakistan,0,7,0%,24.71
Panama,0,6,0%,6.17
Venezuela,0,6,0%,14.5
Dominican Republic,0,5,0%,5.4
Norway,0,5,0%,5.4
Iraq,0,5,0%,7.2
Kazakhstan,0,5,0%,8.4
Ireland,0,5,0%,17.6
Serbia,0,4,0%,5.25
Costa Rica,0,4,0%,6.5
Bulgaria,0,4,0%,8
Czechia,0,4,0%,19.75
Tunisia,0,4,0%,19.75
Austria,0,4,0%,42.25
Oman,0,4,0%,58.25
Malta,0,3,0%,5
New Zealand,0,3,0%,6
Albania,0,3,0%,6.67
Finland,0,3,0%,10.33
Hungary,0,3,0%,15.67
Cyprus,0,3,0%,16.67
Cambodia,0,3,0%,19.33
Jordan,0,3,0%,28.67
Greece,0,3,0%,34.67
Paraguay,0,3,0%,42.67
Jamaica,0,2,0%,6
Syria,0,2,0%,6.5
Lithuania,0,2,0%,8.5
Uganda,0,2,0%,8.5
Guatemala,0,2,0%,9
Croatia,0,2,0%,10.5
Moldova,0,2,0%,11
Trinidad & Tobago,0,2,0%,14
Ethiopia,0,2,0%,16
Bosnia & Herzegovina,0,2,0%,17
Armenia,0,2,0%,20
Slovakia,0,2,0%,29.5
Bolivia,0,2,0%,33.5
Georgia,0,1,0%,4
Kuwait,0,1,0%,4
Bahamas,0,1,0%,5
Kyrgyzstan,0,1,0%,5
Tanzania,0,1,0%,6
Angola,0,1,0%,7
Burundi,0,1,0%,7
Luxembourg,0,1,0%,7
Latvia,0,1,0%,7
Montenegro,0,1,0%,7
Belize,0,1,0%,8
Lebanon,0,1,0%,8
El Salvador,0,1,0%,8
French Polynesia,0,1,0%,9
Kosovo,0,1,0%,9
Botswana,0,1,0%,10
Madagascar,0,1,0%,10
Mongolia,0,1,0%,10
Nepal,0,1,0%,10
Somalia,0,1,0%,10
British Virgin Islands,0,1,0%,10
Uzbekistan,0,1,0%,12
Ghana,0,1,0%,13
Qatar,0,1,0%,13
Zimbabwe,0,1,0%,15
Guam,0,1,0%,19
Estonia,0,1,0%,20
Senegal,0,1,0%,39
Kenya,0,1,0%,51
Honduras,0,1,0%,57
Suriname,0,1,0%,81
Jersey,0,1,0%,83
