Top pages,Clicks,Impressions,CTR,Position
https://www.napasonomaguide.com/guides/best-merlot-napa-valley,5,132,3.79%,19.84
https://www.napasonomaguide.com/blog/best-time-to-visit-wine-country,3,989,0.3%,13.42
https://www.napasonomaguide.com/blog/napa-vs-sonoma,3,676,0.44%,16.67
https://www.napasonomaguide.com/,2,18,11.11%,44.89
https://www.napasonomaguide.com/guides/cheap-wine-tastings-napa-valley,1,386,0.26%,20.66
https://www.napasonomaguide.com/guides/walk-in-wineries-stags-leap-district,1,59,1.69%,8.68
https://www.napasonomaguide.com/wineries,1,34,2.94%,70.35
https://www.napasonomaguide.com/guides/best-zinfandel-russian-river-valley,1,22,4.55%,28.18
https://www.napasonomaguide.com/sonoma-county,0,1133,0%,45.89
https://www.napasonomaguide.com/napa-valley,0,858,0%,31.41
https://www.napasonomaguide.com/map,0,593,0%,37.16
https://www.napasonomaguide.com/wineries/robert-mondavi,0,279,0%,31.33
https://www.napasonomaguide.com/blog/first-time-napa-valley-guide,0,222,0%,8.93
https://www.napasonomaguide.com/wineries/opus-one,0,195,0%,30.56
https://www.napasonomaguide.com/wineries/domaine-carneros,0,166,0%,33.05
https://www.napasonomaguide.com/wineries/stags-leap-wine-cellars,0,163,0%,14.9
https://www.napasonomaguide.com/wineries/caymus-vineyards,0,139,0%,36.12
https://www.napasonomaguide.com/wineries/silver-oak,0,122,0%,45.28
https://www.napasonomaguide.com/wineries/schramsberg-vineyards,0,88,0%,33.23
https://www.napasonomaguide.com/napa-valley/downtown-napa,0,76,0%,37.18
https://www.napasonomaguide.com/guides/free-wine-tastings-napa-valley,0,64,0%,13.84
https://www.napasonomaguide.com/guides/best-cabernet-sauvignon-dry-creek-valley,0,61,0%,15.26
https://www.napasonomaguide.com/guides/best-cabernet-sauvignon-oakville,0,47,0%,9.28
https://www.napasonomaguide.com/napa-valley/coombsville,0,40,0%,26.93
https://www.napasonomaguide.com/sonoma-county/sonoma-valley,0,40,0%,51.8
https://www.napasonomaguide.com/plan-trip,0,40,0%,66.28
https://www.napasonomaguide.com/napa-valley/oak-knoll-district,0,38,0%,24.24
https://www.napasonomaguide.com/guides/best-chardonnay-russian-river-valley,0,36,0%,7.5
https://www.napasonomaguide.com/guides/free-wine-tastings-sonoma-county,0,31,0%,21.26
https://www.napasonomaguide.com/guides/dog-friendly-wineries-calistoga,0,23,0%,8.13
https://www.napasonomaguide.com/wineries/pangloss-cellars,0,19,0%,10
https://www.napasonomaguide.com/wineries/buoncristiani-family-winery,0,17,0%,7.47
https://www.napasonomaguide.com/guides/picnic-wineries-st-helena,0,14,0%,6.5
https://www.napasonomaguide.com/wineries/sebastiani-vineyards-winery,0,12,0%,12
https://www.napasonomaguide.com/wineries/emeritus-vineyards,0,12,0%,20.75
https://www.napasonomaguide.com/compare,0,12,0%,70.25
https://www.napasonomaguide.com/wineries/trattore-farms-and-winery,0,11,0%,7.91
https://www.napasonomaguide.com/where-to-stay/calistoga-inn-restaurant-and-brewery-calistoga-ca,0,11,0%,32.36
https://www.napasonomaguide.com/wineries/halleck-vineyard-estate-winery-wine-tasting-room,0,10,0%,9.1
https://www.napasonomaguide.com/wineries/joseph-phelps-vineyards,0,9,0%,9.44
https://www.napasonomaguide.com/wineries/cade-estate,0,9,0%,14.33
https://www.napasonomaguide.com/wineries/b-cellars,0,7,0%,6.43
https://www.napasonomaguide.com/wineries/scribe-winery,0,7,0%,15.29
https://www.napasonomaguide.com/wineries/brown-downtown-napa,0,6,0%,8.5
https://www.napasonomaguide.com/wineries/paradise-ridge-winery,0,5,0%,5.8
https://www.napasonomaguide.com/where-to-stay/inn-on-the-russian-river,0,5,0%,9.6
https://www.napasonomaguide.com/where-to-stay/el-dorado-hotel,0,5,0%,21
https://www.napasonomaguide.com/where-to-stay/vino-bello-resort,0,3,0%,7.33
https://www.napasonomaguide.com/where-to-stay/duchamp-healdsburg,0,3,0%,13.67
https://www.napasonomaguide.com/where-to-stay/r-inn-napa,0,3,0%,33
https://www.napasonomaguide.com/where-to-stay/lavender-a-four-sisters-inn,0,3,0%,41.33
https://www.napasonomaguide.com/where-to-stay/vista-collina-resort,0,2,0%,7
https://www.napasonomaguide.com/wineries/jacuzzi-family-vineyards,0,2,0%,8
https://www.napasonomaguide.com/wineries/markham-vineyards,0,2,0%,18
https://www.napasonomaguide.com/where-to-stay/calistoga-wine-way-inn,0,2,0%,18.5
https://www.napasonomaguide.com/napa-valley/atlas-peak,0,2,0%,32
https://www.napasonomaguide.com/guides/walk-in-wineries-napa-valley,0,1,0%,9
