Top queries,Clicks,Impressions,CTR,Position
what is weather like,1,1,100%,1
napa valley top wineries 2026,0,122,0%,9.75
sonoma county winery,0,77,0%,49.96
sonoma county wine,0,52,0%,55.94
sonoma wineries,0,42,0%,52.17
sonoma county wines,0,36,0%,51.69
best wineries napa valley reservations 2026,0,33,0%,7.55
napa valley top wineries reservations 2026,0,31,0%,8.65
best napa valley merlot,0,30,0%,32.07
winery robert mondavi,0,28,0%,63.5
sonoma vineyards,0,27,0%,70.15
sonoma county wineries,0,26,0%,47.65
cheap wine tasting,0,24,0%,17.54
best wineries to visit in sonoma,0,24,0%,64.79
wineries in sonoma,0,23,0%,57.52
caymus vineyards,0,23,0%,65.35
mondavi winery,0,21,0%,29.24
napa valley best wineries 2026,0,20,0%,8.65
napa to sonoma,0,20,0%,37.1
napa valley best wineries reservations 2026,0,19,0%,8.95
best wineries to visit in napa,0,18,0%,53.94
sonoma valley wineries,0,18,0%,59.5
sonoma wine vineyards,0,17,0%,66.29
napa vs sonoma map,0,16,0%,11.69
sonoma vineyards wine,0,16,0%,61.81
napa sonoma map,0,15,0%,17.27
domaine carneros,0,15,0%,38.33
napa valley winery map,0,14,0%,39.64
robert mondavi winery,0,14,0%,67.36
best sonoma wineries to visit,0,14,0%,68.43
napa valley tastings under $50,0,13,0%,27.31
wineries sonoma,0,13,0%,55.92
sonoma county vineyards,0,12,0%,47.33
sonoma valley vineyards,0,12,0%,60.42
sonoma winery,0,12,0%,62.33
vineyards in sonoma,0,12,0%,65.5
napa sonoma winery tasting fees cabernet sauvignon,0,11,0%,6.09
map of napa wineries,0,11,0%,42.73
napa valley wine map,0,11,0%,42.91
best time to visit napa valley,0,11,0%,50.36
best wineries in napa and sonoma,0,11,0%,51.27
wine tasting in sonoma county,0,11,0%,52.36
wineries in sonoma california,0,11,0%,61.73
silver oak winery sonoma,0,10,0%,20.7
opus one winery tour,0,10,0%,33.7
napa wineries map,0,10,0%,38.4
map of napa valley wineries,0,10,0%,42.1
best napa wineries to visit,0,10,0%,48.1
best winery in napa valley,0,10,0%,49.6
sonoma valley winery,0,10,0%,54.1
wineries sonoma valley,0,10,0%,54.2
best wineries in sonoma valley,0,10,0%,54.4
winery in sonoma county,0,10,0%,54.9
wineries in sonoma valley,0,10,0%,56.9
wineries to visit in napa,0,10,0%,77.3
napa valley winery reservations tips 2026,0,9,0%,6.22
best time to visit napa,0,9,0%,26.78
napa valley wineries map,0,9,0%,39.67
best vineyards in napa valley,0,9,0%,41.89
top sonoma vineyards,0,9,0%,50.89
wineries in sonoma county,0,9,0%,52
sonoma ca wine country,0,9,0%,64.78
sonoma ca vineyards,0,9,0%,65.78
silver oak winery,0,9,0%,66.67
sonoma trip planning,0,9,0%,77.67
affordable wineries in napa,0,8,0%,1
napa valley wine tasting reservations tips 2026,0,8,0%,5.25
best wineries napa valley 2026,0,8,0%,9.38
best wineries in sonoma county 2026,0,8,0%,9.88
cheap wine tours,0,8,0%,29
robert mondavi winery napa,0,8,0%,29.62
inexpensive napa wineries,0,8,0%,34.75
napa winery map,0,8,0%,40.75
napa vs sonoma,0,8,0%,41
sonoma winery map,0,8,0%,44.25
schramsberg winery,0,8,0%,46
best wineries in napa valley,0,8,0%,60.62
napa wineries list,0,8,0%,66.88
sonoma vs napa wine tasting fees comparison 2026,0,7,0%,7.57
domaine carneros sonoma,0,7,0%,7.71
best merlot in napa,0,7,0%,9.43
best napa valley wineries 2026,0,7,0%,10.14
cheap wineries in napa valley,0,7,0%,31.14
napa sonoma wineries,0,7,0%,47.57
opus one tasting,0,7,0%,55.29
sonoma county wine country map,0,7,0%,55.71
napa and sonoma winery,0,7,0%,58.71
carneros vineyards,0,7,0%,65.86
napa valley to sonoma,0,7,0%,69.86
schramsberg,0,7,0%,77.43
best sonoma county wineries 2026,0,6,0%,7.67
